"1992-1996","TONE ANDERLIČ","LDS"
"1992-1996","MAG. FRANC AVBERŠEK","ZL"
"1992-1996","ROBERTO BATTELLI","POSLANEC ITALIJANSKE NARODNE SKUPNOSTI"
"1992-1996","DUŠAN BAVDEK","ZL"
"1992-1996","IGOR BAVČAR","D, LDS"
"1992-1996","GABRIJEL BERLIČ","LDS"
"1992-1996","LJERKA BIZILJ","LDS, SAMOSTOJNA POSLANKA"
"1992-1996","DR. RADO BOHINC*","ZL"
"1992-1996","DR. FRANCE BUČAR","D->DS"
"1992-1996","DR. VIDA ČADONIČ ŠPELIČ*","SKD"
"1992-1996","FRANC ČERNELIČ","SKD"
"1992-1996","MAG. DRAGAN ČERNETIČ","LDS"
"1992-1996","POLONCA DOBRAJC","SNS"
"1992-1996","DR. JANEZ DRNOVŠEK*","LDS"
"1992-1996","GEZA DŽUBAN","LDS"
"1992-1996","BRANE ERŽEN","SNS, SSP, SAMOSTOJNI POSLANEC"
"1992-1996","STANE FRIM","SKD"
"1992-1996","MIROSLAV GERŽINA","SKD"
"1992-1996","BENJAMIN HENIGMAN","SKD"
"1992-1996","FRANC (FERI) HORVAT","ZL"
"1992-1996","IVO HVALICA","SDSS->SDS"
"1992-1996","JOŽE JAGODNIK","ZL"
"1992-1996","BRANKO JANC","LDS"
"1992-1996","JANEZ JANČAR","LDS"
"1992-1996","JANEZ JANŠA*","SDSS->SDS"
"1992-1996","ZMAGO JELINČIČ","SNS"
"1992-1996","MIRAN JERIČ","LDS"
"1992-1996","MAG. JANEZ JUG","LDS, SAMOSTOJNI POSLANEC"
"1992-1996","METKA KARNER LUKAČ","SLS"
"1992-1996","MAG. JANEZ KOCIJANČIČ","ZL"
"1992-1996","ŠTEFAN KOCIPER","SKD"
"1992-1996","JOŽEF KOCUVAN","SKD"
"1992-1996","MAG. JANEZ KOPAČ","LDS"
"1992-1996","JOŽEF KOPŠE","SNS,SSP"
"1992-1996","BOJAN KOROŠEC","ZELENI->ZELENI-ESS->ZELENI/LDS"
"1992-1996","DR. MATEJA KOŽUN NOVAK","ZL"
"1992-1996","DR. DAVORIN KRAČUN*","LDS"
"1992-1996","DR. LEV KREFT","ZL"
"1992-1996","RAFAEL KUŽNIK","SNS"
"1992-1996","SAŠO LAP","SNS, SSP, SND"
"1992-1996","MAKSIMILJAN LAVRINC","LDS"
"1992-1996","ANDREJ LENARČIČ","SNS, D->DS, SSP"
"1992-1996","JOŽE LENIČ","LDS"
"1992-1996","FRANC LIPOGLAVŠEK","ZL"
"1992-1996","MIHAELA LOGAR","SLS"
"1992-1996","ZORAN MADON","SLS"
"1992-1996","JURIJ MALOVRH","SKD"
"1992-1996","ŠTEFAN MATUŠ","SNS,SSP, SLS"
"1992-1996","ALOJZ METELKO","SLS"
"1992-1996","RUDOLF MOGE","LDS"
"1992-1996","MIROSLAV MOZETIČ","SKD"
"1992-1996","IRENA OMAN","SNS, SSP, SLS"
"1992-1996","IVAN OMAN","SKD"
"1992-1996","MAG. IGOR OMERZA","D, LDS"
"1992-1996","BORUT PAHOR","ZL"
"1992-1996","TONE PARTLJIČ","LDS"
"1992-1996","MILOŠ PAVLICA","ZL"
"1992-1996","BREDA PEČAN","ZL"
"1992-1996","ANTON PERŠAK","D->DS"
"1992-1996","MATJAŽ PESKAR*","LDS"
"1992-1996","ALOJZ PETERLE","SKD"
"1992-1996","PETER PETROVIČ","LDS"
"1992-1996","JANEZ PODOBNIK","SLS"
"1992-1996","MARJAN PODOBNIK","SLS"
"1992-1996","IGNAC POLAJNAR","SKD"
"1992-1996","MARIJAN POLJŠAK","SNS, SSP, SND, SSP"
"1992-1996","FRANC POTOČNIK","SLS"
"1992-1996","VIKA POTOČNIK","LDS"
"1992-1996","MIRAN POTRČ","ZL"
"1992-1996","MARIA POZSONEC","POSLANKA MADŽARSKE NARODNE SKUPNOSTI"
"1992-1996","JANKO PREDAN","ZELENI->ZELENI-ESS->ZELENI/LDS"
"1992-1996","ŽARKO PREGELJ","SLS"
"1992-1996","JANA PRIMOŽIČ","SKD"
"1992-1996","MAG. JOŽE PROTNER","LDS"
"1992-1996","CIRIL PUCKO*","SKD"
"1992-1996","DR. JOŽE PUČNIK","SDSS->SDS"
"1992-1996","VITODRAG PUKL","SDSS->SDS"
"1992-1996","JOŽEF RAJŠP","SKD"
"1992-1996","IZIDOR REJC","SKD"
"1992-1996","DR. CIRIL RIBIČIČ","ZL"
"1992-1996","MAG. HERMAN RIGELNIK","LDS"
"1992-1996","DR. DIMITRIJ RUPEL*","D, LDS"
"1992-1996","DANICA SIMŠIČ","D->DS"
"1992-1996","IVAN SISINGER","ZL"
"1992-1996","NADA SKUK","SKD"
"1992-1996","MARJAN STANIČ","SNS, SSP, SND"
"1992-1996","MAKS SUŠEK","LDS"
"1992-1996","DR. LEO ŠEŠERKO","ZELENI->ZELENI-ESS->ZELENI/LDS"
"1992-1996","DR. MARJAN ŠETINC","LDS"
"1992-1996","DRAGO ŠIFTAR","SDSS->SDS"
"1992-1996","JOŽEF ŠKOLČ","LDS"
"1992-1996","JADRANKA ŠTURM KOCJAN","LDS"
"1992-1996","DR. PETER TANCING","ZELENI->ZELENI-ESS->ZELENI/LDS"
"1992-1996","ZORAN THALER","LDS"
"1992-1996","DR. LUDVIK TOPLAK*","SLS"
"1992-1996","VLADIMIR TOPLER","ZELENI->ZELENI-ESS->ZELENI/LDS"
"1992-1996","IVAN VERZOLAK","SNS, SSP, SND"
"1992-1996","JANEZ VINDIŠ","SLS, SKD"
"1992-1996","DR. FRANC ZAGOŽEN","SLS"
"1992-1996","JAŠA ZLOBEC L.*","LDS"
"1992-1996","DR. JANEZ ZUPANEC","LDS"
"1996-2000","ANTON ANDERLIČ","LDS"
"1996-2000","JOŽE AVŠIČ","LDS"
"1996-2000","JOSIP BAJC","SLS, SLS+SKD"
"1996-2000","ROBERTO BATTELLI","POSLANEC ITALIJANSKE NARODNE SKUPNOSTI"
"1996-2000","IGOR BAVČAR*","LDS"
"1996-2000","MAG. ANTON BERGAUER*","SLS, SLS+SKD"
"1996-2000","RICHARD BEUERMANN","LDS"
"1996-2000","SAMO BEVK","ZLSD"
"1996-2000","IVAN BOŽIČ","SKD, SLS+SKD"
"1996-2000","STANISLAV BRENČIČ","SLS, SLS+SKD"
"1996-2000","MAG. FRANC BUT*","SLS, SLS+SKD"
"1996-2000","JANEZ CIMPERMAN*","SDS"
"1996-2000","DR. VIDA ČADONIČ ŠPELIČ*","SKD, SLS+SKD"
"1996-2000","FRANC ČEBULJ","SDS"
"1996-2000","VLADIMIR ČELIGOJ","SDS"
"1996-2000","ANTON DELAK","DeSUS"
"1996-2000","VINCENCIJ DEMŠAR","SKD, SLS+SKD"
"1996-2000","POLONCA DOBRAJC","SNS, SAMOSTOJNA POSLANKA"
"1996-2000","METOD DRAGONJA*","LDS"
"1996-2000","DR. JANEZ DRNOVŠEK*","LDS"
"1996-2000","GEZA DŽUBAN","LDS"
"1996-2000","ANDREJ FABJAN","SLS, SLS+SKD"
"1996-2000","DR. SLAVKO GABER*","LDS"
"1996-2000","MARIO GASPARINI","LDS"
"1996-2000","ANDREJ GERENČER","LDS"
"1996-2000","LEON GOSTIŠA*","SLS, SLS+SKD"
"1996-2000","BENJAMIN HENIGMAN","SKD, SLS+SKD"
"1996-2000","FRANC (FERI) HORVAT","ZLSD"
"1996-2000","PETER HRASTELJ","SLS, SLS+SKD"
"1996-2000","DR. HELENE HREN VENCELJ","SKD, SLS+SKD"
"1996-2000","IVO HVALICA","SDS"
"1996-2000","JOŽEF JAGODNIK*","ZLSD"
"1996-2000","ROMAN JAKIČ*","LDS"
"1996-2000","BRANKO JANC","LDS"
"1996-2000","JANEZ JANŠA*","SDS"
"1996-2000","FRANC JAZBEC","SDS"
"1996-2000","ZMAGO JELINČIČ","SNS"
"1996-2000","MIRAN JERIČ","LDS"
"1996-2000","JOŽEF JEROVŠEK","SDS"
"1996-2000","AURELIO JURI","ZLSD"
"1996-2000","JELKO KACIN","LDS"
"1996-2000","FRANC KANGLER","SLS, SLS+SKD"
"1996-2000","MIRKO KAPLJA*","LDS"
"1996-2000","IVAN KEBRIČ","DeSUS"
"1996-2000","BRANKO KELEMINA","SDS"
"1996-2000","ŠTEFAN KLINC","SLS+SKD"
"1996-2000","BOJAN KONTIČ","ZLSD"
"1996-2000","MAG. JANEZ KOPAČ","LDS"
"1996-2000","JOŽEF KOŠIR","LDS"
"1996-2000","ALOJZ KOVŠE*","LDS"
"1996-2000","JANEZ KRAMBERGER","SLS, SLS+SKD"
"1996-2000","MAJDA ANA KREGELJ ZBAČNIK","SDS"
"1996-2000","RAFAEL KUŽNIK","SNS"
"1996-2000","MAKSIMILJAN LAVRINC*","LDS"
"1996-2000","DARJA LAVTIŽAR BEBLER","LDS"
"1996-2000","JOŽE LENIČ*","LDS"
"1996-2000","PETER LEŠNIK*","SNS"
"1996-2000","ZORAN LEŠNIK","DeSUS"
"1996-2000","MIROSLAV LUCI","SDS"
"1996-2000","JURIJ MALOVRH","SKD, SLS+SKD"
"1996-2000","ALEKSANDER MERLO","LDS"
"1996-2000","JANEZ MEŽAN","SDS"
"1996-2000","RUDOLF MOGE","LDS"
"1996-2000","MIROSLAV MOZETIČ*","SKD, SLS+SKD"
"1996-2000","JOŽE MOŽGAN","SLS, SLS+SKD"
"1996-2000","DARINKA MRAVLJAK","SLS, SLS+SKD"
"1996-2000","EDA OKRETIČ SALMIČ","DeSUS, SAMOSTOJNA POSLANKA"
"1996-2000","BORUT PAHOR","ZLSD"
"1996-2000","ANTON PARTLJIČ","LDS"
"1996-2000","SAŠO PEČE*","SNS"
"1996-2000","JANEZ PER*","SLS+SKD"
"1996-2000","RUDOLF PETAN","SDS"
"1996-2000","ALOJZ PETERLE*","SKD, SLS+SKD"
"1996-2000","PETER PETROVIČ*","LDS"
"1996-2000","JANEZ PODOBNIK","SLS, SLS+SKD"
"1996-2000","MARJAN PODOBNIK*","SLS, SLS+SKD"
"1996-2000","FRANC POTOČNIK","SLS, SLS+SKD"
"1996-2000","MIRAN POTRČ","ZLSD"
"1996-2000","MARIA POZSONEC","POSLANKA MADŽARSKE NARODNE SKUPNOSTI"
"1996-2000","JAKOB PRESEĆNIK","SLS, SLS+SKD"
"1996-2000","CIRIL PUCKO","SKD, SAMOSTOJNI POSLANEC"
"1996-2000","FRANC PUKŠIČ","SDS"
"1996-2000","CIRIL METOD PUNGARTNIK*","LDS"
"1996-2000","IZIDOR REJC","SKD, SLS+SKD"
"1996-2000","DR. CIRIL RIBIČIČ","ZLSD"
"1996-2000","FRANCI ROKAVEC","SLS, SLS+SKD"
"1996-2000","NIKOLAJ ROŽIČ*","LDS"
"1996-2000","PAVEL RUPAR","SDS"
"1996-2000","MAG. MARIJAN SCHIFFRER","SKD, SLS+SKD"
"1996-2000","NADA SKUK*","SKD, SLS+SKD"
"1996-2000","CIRIL SMRKOLJ*","SLS, SLS+SKD"
"1996-2000","BORIS SOVIČ*","ZLSD"
"1996-2000","STANA STOPAR*","LDS"
"1996-2000","JOŽEF ŠKOLČ*","LDS"
"1996-2000","BOGOMIR ŠPILETIČ","SDS"
"1996-2000","JOŽEF ŠPINDLER","LDS"
"1996-2000","DAVORIN TERČON","LDS"
"1996-2000","ZORAN THALER*","LDS"
"1996-2000","BRANKO TOMAŽIČ","SLS, SLS+SKD"
"1996-2000","HERMAN TOMAŽIČ","LDS"
"1996-2000","VILI TROFENIK","SLS, SLS+SKD"
"1996-2000","JANKO VEBER","ZLSD"
"1996-2000","ALOJZ VESENJAK","SLS, SLS+SKD"
"1996-2000","IRENA VIRANT*","SDS"
"1996-2000","DR. FRANC ZAGOŽEN","SLS, SLS+SKD"
"1996-2000","DR. JOŽE ZAGOŽEN*","SDS"
"1996-2000","BOGOMIR ZAMERNIK","SDS"
"1996-2000","JOŽEF ZIMŠEK","LDS"
"1996-2000","MAG. FRANC ŽNIDARŠIČ","DeSUS"
"2000-2004","ANTON ANDERLIČ","LDS"
"2000-2004","SONJA AREH LAVRIČ","SNS"
"2000-2004","JOŽE AVŠIČ","LDS"
"2000-2004","DR. ANDREJ BAJUK","Nsi"
"2000-2004","BOGDAN BAROVIČ","SNS"
"2000-2004","ROBERTO BATTELLI","POSLANEC ITALIJANSKE NARODNE SKUPNOSTI"
"2000-2004","IGOR BAVČAR*","LDS"
"2000-2004","DR. JOŽEF BERNIK","Nsi"
"2000-2004","RICHARD BEUERMANN*","LDS"
"2000-2004","SAMO BEVK","ZLSD"
"2000-2004","DR. RADO BOHINC*","ZLSD"
"2000-2004","IVAN BOŽIČ","SLS, SLS+SKD"
"2000-2004","DR. MIHAEL BREJC*","SDS"
"2000-2004","STANISLAV BRENČIČ","SLS, SLS+SKD"
"2000-2004","ANTON BUTOLEN*","LDS"
"2000-2004","JANEZ CIMPERMAN","SDS"
"2000-2004","FRANCE CUKJATI","SDS"
"2000-2004","FRANC ČEBULJ","SDS, SAMOSTOJNI POSLANEC, SLS"
"2000-2004","VOJKO ČELIGOJ","DeSUS"
"2000-2004","DR. LUCIJA ČOK*","LDS"
"2000-2004","SILVA ČERNUGELJ","ZLSD"
"2000-2004","ANTON DELAK*","DeSUS"
"2000-2004","MAG. MARKO DIACI","SMS, SAMOSTOJNI POSLANEC"
"2000-2004","DR. JANEZ DRNOVŠEK*","LDS"
"2000-2004","MAG. JANEZ DROBNIČ","Nsi"
"2000-2004","GEZA DŽUBAN","LDS"
"2000-2004","ANDREJ FABJAN","SLS, SLS+SKD"
"2000-2004","MATJAŽ FALKNER*","Nsi"
"2000-2004","DR. SLAVKO GABER*","LDS"
"2000-2004","MAG. MITJA GASPARI*","LDS"
"2000-2004","MARIO GASPARINI*","LDS"
"2000-2004","ANDREJ GERENČER*","LDS"
"2000-2004","LJUBO GERMIČ","LDS"
"2000-2004","SINIŠA GERMOVŠEK*","SDS"
"2000-2004","MAG. ZORAN GRAČNER","LDS"
"2000-2004","LEOPOLD GROŠELJ","ZLSD"
"2000-2004","FRANC (FERI) HORVAT","ZLSD"
"2000-2004","ROMAN JAKIČ*","LDS"
"2000-2004","BRANKO JANC","LDS"
"2000-2004","IVAN (JANEZ) JANŠA","SDS"
"2000-2004","ZMAGO JELINČIČ PLEMENITI","SNS"
"2000-2004","MIRAN JERIČ","LDS"
"2000-2004","JOŽEF JEROVŠEK","SDS"
"2000-2004","AURELIO JURI","ZLSD"
"2000-2004","JELKO KACIN*","LDS"
"2000-2004","FRANC KANGLER","SLS, SLS+SKD"
"2000-2004","BLAŽ KAVČIČ","LDS"
"2000-2004","JOŽE (JOŽEF) KAVTIČNIK","LDS"
"2000-2004","IVAN KEBRIČ","DeSUS"
"2000-2004","BRANKO KELEMINA","SDS"
"2000-2004","JANEZ KOMLJANEC*","LDS"
"2000-2004","BOJAN KONTIČ","ZLSD"
"2000-2004","MAG. JANEZ KOPAČ*","LDS"
"2000-2004","MILAN KOPUŠAR","LDS"
"2000-2004","MAG. JANEZ KRAMBERGER","SLS, SLS+SKD"
"2000-2004","LEOPOLD (LEO) KREMŽAR","LDS"
"2000-2004","MAKSIMILJAN LAVRINC","LDS"
"2000-2004","DARJA LAVTIŽAR BEBLER*","LDS"
"2000-2004","FRANC LENKO*","DeSUS"
"2000-2004","PETER LEVIČ","SMS, SAMOSTOJNI POSLANEC"
"2000-2004","LIDIJA MAJNIK","LDS"
"2000-2004","JURIJ MALOVRH","SLS, SLS+SKD"
"2000-2004","IVAN MAMIĆ","Nsi"
"2000-2004","DORIJAN MARŠIČ","LDS"
"2000-2004","JERICA MRZEL*","ZLSD"
"2000-2004","ALEKSANDER MERLO*","LDS"
"2000-2004","RUDOLF MOGE","LDS"
"2000-2004","BORUT PAHOR*","ZLSD"
"2000-2004","ANTON (TONE) PARTLJIČ","LDS"
"2000-2004","IRMA PAVLINIČ KREBS","LDS"
"2000-2004","BREDA PEČAN*","ZLSD"
"2000-2004","SAŠO PEČE","SNS"
"2000-2004","RUDOLF PETAN","SDS"
"2000-2004","ALOJZ PETERLE*","Nsi"
"2000-2004","JANEZ PODOBNIK","SLS, SLS+SKD"
"2000-2004","VALENTIN POHOREC","DeSUS"
"2000-2004","MAG. MAJDA POTRATA","ZLSD"
"2000-2004","MIRAN POTRČ","ZLSD"
"2000-2004","MARIA POZSONEC","POSLANKA MADŽARSKE NARODNE SKUPNOSTI"
"2000-2004","CIRIL PUCKO","LDS"
"2000-2004","FRANC PUKŠIČ","SDS"
"2000-2004","FRANCI ROKAVEC","SLS, SLS+SKD"
"2000-2004","MAG. ANTON ROP*","LDS"
"2000-2004","PAVEL RUPAR","SDS"
"2000-2004","DR. DIMITRIJ RUPEL*","LDS, SAMOSTOJNI POSLANEC, SDS"
"2000-2004","DANICA SIMŠIČ*","ZLSD"
"2000-2004","ALOJZ SOK","Nsi"
"2000-2004","STANISLAVA STOPAR*","LDS"
"2000-2004","FRANC SUŠNIK","SDS"
"2000-2004","MAJDA ŠIRCA","LDS"
"2000-2004","JOŽEF ŠKOLČ*","LDS"
"2000-2004","JOŽEF ŠPINDLER","LDS"
"2000-2004","IGOR ŠTEMBERGER","SMS, SAMOSTOJNI POSLANEC"
"2000-2004","BORUT ŠUKLJE*","LDS"
"2000-2004","MATJAŽ ŠVAGAN","LDS"
"2000-2004","JOŽE TANKO","SDS"
"2000-2004","DAVORIN TERČON","LDS"
"2000-2004","MARIJA ANA TISOVIC","Nsi"
"2000-2004","VILI TROFENIK","SLS, SLS+SKD"
"2000-2004","JANKO VEBER","ZLSD"
"2000-2004","MAG. ANDREJ VIZJAK","SDS"
"2000-2004","BOGOMIR VNUČEC","SMS, SDS"
"2000-2004","DUŠAN VUČKO","LDS"
"2000-2004","CVETA ZALOKAR ORAŽEM","LDS"
"2000-2004","BOGOMIR ZAMERNIK","SDS"
"2000-2004","JAŠA ZLOBEC LUKIČ*","LDS"
"2000-2004","MAJDA ZUPAN","Nsi"
"2004-2008","ANTON ANDERLIČ","LDS"
"2004-2008","JOSIP BAJC","SLS"
"2004-2008","DR. ANDREJ BAJUK*","Nsi"
"2004-2008","BOGDAN BAROVIČ","SNS"
"2004-2008","ROBERTO BATTELLI","POSLANEC ITALIJANSKE NARODNE SKUPNOSTI"
"2004-2008","SAMO BEVK","SD"
"2004-2008","STANISLAV BRENČIČ","SLS"
"2004-2008","MAG. ANDREJ BRUČAN*","SDS"
"2004-2008","MAG. FRANC CAPUDER","Nsi"
"2004-2008","FRANCE CUKJATI","SDS"
"2004-2008","MAG. MILAN M. CVIKL","LDS, SD"
"2004-2008","ZVONKO ČERNAČ","SDS"
"2004-2008","POLONCA DOBRAJC","SDS"
"2004-2008","MAG. JANEZ DROBNIČ*","Nsi"
"2004-2008","MARJAN DROFENIK*","SLS"
"2004-2008","GEZA DŽUBAN","LDS"
"2004-2008","JOŽEF FICKO*","SDS"
"2004-2008","DR. SLAVKO GABER","LDS, NEPOVEZANI POSLANEC"
"2004-2008","DR. PAVEL GANTAR","LDS, NP"
"2004-2008","LJUBO GERMIČ","LDS"
"2004-2008","IVAN GRILL","SDS"
"2004-2008","MAG. BRANKO GRIMS","SDS"
"2004-2008","ALEŠ GULIČ","LDS"
"2004-2008","MATJAŽ HAN","SD"
"2004-2008","BOJAN HOMAN*","SDS"
"2004-2008","FRANC (FERI) HORVAT","SD"
"2004-2008","JOŽEF HORVAT","Nsi"
"2004-2008","SREČKO HVAUC","SDS"
"2004-2008","EVA IRGL","SDS"
"2004-2008","KRISTIJAN JANC","SLS"
"2004-2008","JANEZ JANŠA*","SDS"
"2004-2008","FRANC JAZBEC","SDS"
"2004-2008","IVAN JELEN","DeSUS"
"2004-2008","ZMAGO JELINČIČ PLEMENITI","SNS"
"2004-2008","ALENKA JERAJ","SDS"
"2004-2008","MIRAN JERIČ","LDS"
"2004-2008","JOŽEF JEROVŠEK","SDS"
"2004-2008","AURELIO JURI","SD"
"2004-2008","FRANC KANGLER*","SLS"
"2004-2008","MAG. VASJA KLAVORA","DeSUS"
"2004-2008","ANTON KOKALJ","Nsi"
"2004-2008","BOJAN KONTIČ","SD"
"2004-2008","DRAGO KOREN","Nsi"
"2004-2008","DIMITRIJ KOVAČIČ","SDS"
"2004-2008","MAG. JANEZ KRAMBERGER","SLS"
"2004-2008","DANIJEL KRIVEC","SDS"
"2004-2008","MOJCA KUCLER DOLINAR","Nsi"
"2004-2008","DUŠAN KUMER","SD"
"2004-2008","DR. MATEJ LAHOVNIK","LDS, NEPOVEZANI POSLANEC, NP"
"2004-2008","MITJA LJUBELJŠEK","SDS"
"2004-2008","MIROSLAV LUCI*","SDS"
"2004-2008","DARJA LAVTIŽAR BEBLER","LDS, SD"
"2004-2008","BRANKO MARINIČ","SDS"
"2004-2008","MARTIN MIKOLIČ","Nsi"
"2004-2008","RUDOLF MOGE","LDS"
"2004-2008","STANE PAJK","SDS"
"2004-2008","DR. MARKO PAVLIHA","LDS, SD"
"2004-2008","BREDA PEČAN","SD"
"2004-2008","SAŠO PEČE","SNS"
"2004-2008","RUDOLF PETAN","SDS"
"2004-2008","MILAN PETEK","LDS"
"2004-2008","MIRO PETEK","SDS"
"2004-2008","MARIJAN POJBIČ*","SDS"
"2004-2008","ALOJZ POSEDEL","LDS, NP"
"2004-2008","MAG. MAJDA POTRATA","SD"
"2004-2008","MIRAN POTRČ","SD"
"2004-2008","MARIA POZSONEC","POSLANKA MADŽARSKE NARODNE SKUPNOSTI"
"2004-2008","JAKOB PRESEĆNIK","SLS"
"2004-2008","MIHAEL PREVC","SLS"
"2004-2008","SREČKO PRIJATELJ","SNS"
"2004-2008","FRANC PUKŠIČ*","SDS"
"2004-2008","VILI REZMAN","DeSUS"
"2004-2008","MAG. ANTON ROP","LDS, SD"
"2004-2008","BOJAN RUGELJ","SDS"
"2004-2008","PAVEL RUPAR*","SDS"
"2004-2008","MAG. BORUT SAJOVIC","LDS"
"2004-2008","DR. MITJA SLAVINEC","LDS"
"2004-2008","ALOJZ SOK","Nsi"
"2004-2008","BOJAN STARMAN","SDS"
"2004-2008","FRANC SUŠNIK","SDS"
"2004-2008","MAJDA ŠIRCA","LDS, NP"
"2004-2008","CIRIL TESTEN","Nsi"
"2004-2008","VILI TROFENIK","LDS, NP"
"2004-2008","MARJETKA UHAN","Nsi"
"2004-2008","JANKO VEBER","SD"
"2004-2008","RUDI VERŠNIK","SDS"
"2004-2008","MAG. ANDREJ VIZJAK*","SDS"
"2004-2008","BOŠTJAN ZAGORAC","SNS"
"2004-2008","CVETA ZALOKAR ORAŽEM","LDS, NP"
"2004-2008","BOGOMIR ZAMERNIK","SDS"
"2004-2008","MILENKO ZIHERL","SDS"
"2004-2008","DR. MILAN ZVER*","SDS"
"2004-2008","BARBARA ŽGAJNER TAVŠ","SNS"
"2004-2008","MAG. FRANC ŽNIDARŠIČ","DeSUS"
